canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_value,type,value
CCc1c(N2CCN(C(=O)c3ncccc3N)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6151364,=,=,IC50,95.6,IC50,95.6
CCc1c(N2CCN(Cc3ncccc3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6148383,>,>,IC50,5000.0,IC50,5000.0
CCc1c(N2CCN(C(=O)C3=C4NC=CC4CC=N3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6166435,=,=,IC50,17.0,IC50,17.0
CCc1c(N2CCN(C(=O)C3=C4NN=CC4CC=N3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6134609,=,=,IC50,68.5,IC50,68.5
CCc1c(N2CCN(C(=O)C3=C4NC=NC4CC=N3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6145855,=,=,IC50,17.7,IC50,17.7
CCc1c(N2CCN(C(=O)c3cncc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6163911,=,=,IC50,157.0,IC50,157.0
CCc1c(N2CCN(C(=O)c3ccnc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6162993,=,=,IC50,27.2,IC50,27.2
CCc1c(N2CCN(C(=O)c3cccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6120422,=,=,IC50,22.6,IC50,22.6
CCc1c(N2CCN(C(=O)c3cccc4[nH]ccc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6142963,=,=,IC50,44.0,IC50,44.0
CCc1c(N2CCN(C(=O)c3ncc(Cl)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6160824,=,=,IC50,2260.0,IC50,2260.0
