canonical_smiles,pIC50
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.714442690992226
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCC4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.7121982700697735
CCc1c(N2CCN(C(=O)c3cccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.645891560852599
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(C3=CCC4(CCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.636388020107855
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCOC4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.600326278518962
CCc1c(N2CCN(C(=O)c3ccnc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.565431095965801
CCc1c(N2CCN(C(=O)c3nccc4nc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.537602002101044
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccc(C)cc2F)CC[C@@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,7.537602002101044
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.525783735923745
CCc1c(N2CCN(C(=O)c3nc4cccnc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.508638306165727
CCc1c(N2CCN(C(=O)c3ncnc(OC)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.498940737782249
CCc1c(N2CCN(C(=O)c3nccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.494850021680094
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.490797477668897
CCc1c(N2CCN(C(=O)c3cccc4[nH]ccc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.47755576649368
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCOCC4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.423658649794207
CCc1c(N2CCN(C(=O)C3=C4NN=CC4CC=N3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.421360790031928
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccc(C)cc2)CC[C@@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,7.4089353929735005
CCc1c(N2CCN(C(=O)c3nc4nc(Cl)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.376750709602099
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CC3)CC4(F)F)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.330683119433887
CCc1c(N2CCN(C(=O)c3cc(Cl)cc4[nH]cnc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.301029995663981
CCc1c(N2CCN(C(=O)c3cc(Br)cc4[nH]cnc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.301029995663981
Cc1ccc(CC(=O)N2CC[C@H](NC(=O)CCn3c(=O)[nH]c4ccccc43)[C@H](C(=O)N[C@H](CC3CCCCC3)C(=O)O)C2)c(F)c1,7.275724130399211
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.2262135550188065
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)CC2CCC(C(F)(F)F)CC2)CC[C@@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,7.221848749616356
CCc1c(N2CCN(C(=O)c3cc4[nH]ccc4cn3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,7.1487416512809245
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.113509274827518
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(OC)cc1,7.073143291050307
CCc1c(N2CCN(C(=O)c3ncccc3N)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,7.0195421077239
CCc1c(N2CCN(C(=O)c3nc(C)ccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.97061622231479
CCc1c(N2CCN(C(=O)c3cc4ncc(Cl)cc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.954677021213342
CCc1c(N2CCN(C(=O)c3ccncc3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.924453038607469
CCc1c(N2CCN(C(=O)c3cncc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.910094888560602
CCc1c(N2CCN(C(=O)c3cc4nc(Cl)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.903089986991944
CCc1c(N2CCN(C(=O)c3cc4ncc(Br)cc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.892790030352131
CCc1c(N2CCN(C(=O)c3cnc4ccccc4c3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.889410289700751
CCc1c(N2CCN(C(=O)c3nc(C4CC4)ccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.876148359032914
